previous,pdays,duration,poutcome,month,contact,housing,job,loan,education,marital,y_encoded
0,-1,151,unknown,jul,cellular,yes,technician,no,unknown,married,0
0,-1,67,unknown,may,cellular,yes,technician,no,secondary,divorced,0
0,-1,958,unknown,may,unknown,yes,management,yes,tertiary,married,1
0,-1,65,unknown,may,cellular,no,management,no,tertiary,married,0
1,91,134,success,jan,cellular,no,management,no,tertiary,married,1
0,-1,244,unknown,may,cellular,no,management,no,tertiary,married,1
0,-1,302,unknown,aug,cellular,no,management,no,secondary,married,0
0,-1,155,unknown,jun,unknown,no,services,yes,secondary,married,0
0,-1,554,unknown,may,unknown,yes,unemployed,no,secondary,married,0
0,-1,246,unknown,jul,cellular,yes,blue-collar,no,primary,married,0
0,-1,87,unknown,aug,cellular,no,technician,no,tertiary,divorced,0
6,75,331,failure,sep,cellular,no,blue-collar,no,secondary,married,1
0,-1,408,unknown,jul,cellular,no,self-employed,no,tertiary,married,0
0,-1,167,unknown,may,unknown,yes,blue-collar,yes,primary,single,0
1,246,219,failure,jan,cellular,yes,technician,no,secondary,single,0
0,-1,124,unknown,may,unknown,yes,services,no,secondary,divorced,0
0,-1,67,unknown,jun,unknown,yes,admin.,no,secondary,married,0
0,-1,384,unknown,jun,cellular,no,technician,no,secondary,married,1
0,-1,211,unknown,apr,cellular,yes,management,no,tertiary,married,0
0,-1,219,unknown,aug,cellular,no,technician,no,secondary,divorced,0
0,-1,6,unknown,oct,unknown,no,admin.,no,secondary,single,0
0,-1,252,unknown,aug,cellular,no,management,yes,tertiary,single,0
0,-1,55,unknown,jul,cellular,no,management,yes,tertiary,married,0
0,-1,76,unknown,aug,cellular,no,management,no,tertiary,divorced,0
0,-1,64,unknown,may,unknown,yes,management,yes,tertiary,married,0
0,-1,116,unknown,may,unknown,yes,blue-collar,no,primary,married,0
0,-1,151,unknown,may,telephone,yes,services,no,secondary,married,0
0,-1,96,unknown,feb,cellular,yes,blue-collar,no,primary,married,0
0,-1,143,unknown,may,unknown,yes,services,yes,secondary,married,0
5,504,369,other,sep,cellular,yes,admin.,no,secondary,single,1
0,-1,117,unknown,aug,cellular,no,technician,no,secondary,divorced,0
0,-1,176,unknown,may,unknown,yes,services,no,secondary,married,0
0,-1,78,unknown,apr,cellular,yes,blue-collar,no,primary,married,0
2,186,171,failure,sep,cellular,yes,management,no,tertiary,married,0
0,-1,69,unknown,jul,cellular,yes,technician,no,secondary,married,0
0,-1,198,unknown,jul,telephone,yes,blue-collar,yes,secondary,married,0
0,-1,49,unknown,jun,unknown,no,unknown,no,secondary,married,0
2,95,658,other,sep,cellular,no,management,no,tertiary,married,1
0,-1,133,unknown,jun,unknown,no,retired,no,secondary,divorced,0
0,-1,180,unknown,may,unknown,yes,blue-collar,no,secondary,married,0
0,-1,697,unknown,may,unknown,yes,services,no,secondary,single,1
1,146,199,failure,apr,cellular,yes,blue-collar,no,primary,divorced,0
0,-1,530,unknown,nov,cellular,yes,management,yes,tertiary,married,0
0,-1,912,unknown,may,unknown,yes,services,no,secondary,married,0
0,-1,543,unknown,may,unknown,yes,blue-collar,yes,secondary,married,1
0,-1,72,unknown,aug,cellular,no,blue-collar,no,unknown,married,0
0,-1,116,unknown,jul,telephone,no,housemaid,yes,primary,married,0
0,-1,641,unknown,aug,cellular,no,management,no,tertiary,single,1
0,-1,298,unknown,aug,cellular,no,student,no,tertiary,single,0
0,-1,352,unknown,aug,cellular,no,admin.,no,secondary,married,0
0,-1,38,unknown,jan,cellular,no,unemployed,no,secondary,divorced,0
0,-1,637,unknown,jul,cellular,no,technician,no,secondary,divorced,0
0,-1,116,unknown,aug,cellular,no,retired,no,secondary,married,0
0,-1,1186,unknown,jul,cellular,no,management,no,primary,married,0
0,-1,100,unknown,may,cellular,yes,blue-collar,yes,secondary,married,0
0,-1,352,unknown,may,unknown,yes,blue-collar,no,secondary,single,0
0,-1,215,unknown,dec,cellular,no,retired,no,primary,married,0
3,188,170,failure,nov,cellular,yes,technician,no,secondary,married,0
0,-1,71,unknown,oct,unknown,no,management,yes,tertiary,married,0
0,-1,168,unknown,may,cellular,yes,entrepreneur,no,tertiary,married,0
0,-1,878,unknown,nov,cellular,no,self-employed,no,secondary,married,0
0,-1,7,unknown,jul,unknown,yes,blue-collar,no,secondary,married,0
0,-1,56,unknown,aug,cellular,no,management,no,tertiary,divorced,0
1,363,220,other,may,telephone,yes,services,no,secondary,married,0
2,111,130,failure,nov,cellular,no,entrepreneur,no,tertiary,married,0
0,-1,162,unknown,jun,unknown,no,services,no,primary,married,0
0,-1,445,unknown,may,cellular,no,retired,no,primary,divorced,0
0,-1,134,unknown,may,unknown,yes,blue-collar,no,secondary,married,0
3,101,609,failure,nov,unknown,yes,management,no,tertiary,single,0
3,391,81,failure,jun,cellular,yes,entrepreneur,no,secondary,divorced,1
0,-1,152,unknown,may,unknown,yes,services,no,secondary,single,0
0,-1,324,unknown,may,cellular,no,unemployed,no,tertiary,single,0
0,-1,255,unknown,jul,cellular,yes,management,no,tertiary,single,0
0,-1,398,unknown,aug,cellular,yes,technician,no,secondary,divorced,0
0,-1,400,unknown,apr,cellular,yes,services,no,secondary,single,0
0,-1,464,unknown,may,unknown,yes,admin.,no,secondary,married,0
0,-1,318,unknown,aug,cellular,no,technician,no,secondary,divorced,1
0,-1,71,unknown,may,unknown,yes,retired,no,secondary,divorced,0
0,-1,240,unknown,jul,cellular,no,blue-collar,yes,secondary,divorced,0
0,-1,8,unknown,feb,cellular,no,management,no,tertiary,single,0
0,-1,367,unknown,aug,cellular,no,technician,no,secondary,single,0
1,351,324,failure,may,cellular,yes,admin.,no,secondary,single,0
0,-1,168,unknown,may,unknown,yes,retired,no,tertiary,divorced,0
0,-1,204,unknown,nov,cellular,no,entrepreneur,no,tertiary,divorced,0
0,-1,495,unknown,jun,unknown,no,blue-collar,no,unknown,married,0
0,-1,360,unknown,aug,cellular,no,management,no,tertiary,married,0
0,-1,247,unknown,jun,unknown,yes,self-employed,no,tertiary,married,0
0,-1,290,unknown,may,unknown,yes,blue-collar,no,primary,divorced,0
0,-1,226,unknown,may,unknown,yes,technician,no,secondary,single,0
1,274,75,failure,aug,cellular,yes,technician,no,tertiary,married,0
0,-1,144,unknown,may,cellular,no,admin.,no,secondary,married,0
0,-1,169,unknown,may,unknown,yes,blue-collar,yes,secondary,married,0
9,323,191,failure,apr,cellular,yes,self-employed,no,primary,single,0
0,-1,260,unknown,jul,cellular,no,technician,yes,tertiary,single,0
0,-1,952,unknown,jun,unknown,no,entrepreneur,no,tertiary,married,1
1,196,426,other,jan,cellular,no,management,no,tertiary,married,1
0,-1,58,unknown,may,unknown,yes,management,no,tertiary,divorced,0
0,-1,280,unknown,apr,cellular,no,management,no,tertiary,married,0
0,-1,158,unknown,feb,cellular,no,technician,no,tertiary,single,0
2,343,1554,failure,apr,cellular,yes,self-employed,no,secondary,married,0
0,-1,386,unknown,nov,cellular,yes,technician,no,secondary,divorced,0
1,350,369,failure,may,cellular,yes,technician,no,secondary,single,0
0,-1,417,unknown,jun,unknown,yes,admin.,yes,secondary,married,0
0,-1,402,unknown,aug,cellular,no,management,no,tertiary,married,0
0,-1,161,unknown,jul,cellular,yes,services,no,secondary,single,0
0,-1,15,unknown,aug,cellular,no,technician,no,secondary,divorced,0
0,-1,165,unknown,jun,unknown,no,blue-collar,no,secondary,married,0
0,-1,252,unknown,may,cellular,yes,admin.,no,secondary,single,0
0,-1,182,unknown,nov,cellular,yes,blue-collar,no,primary,divorced,0
0,-1,111,unknown,nov,cellular,yes,management,no,secondary,married,0
0,-1,464,unknown,may,unknown,yes,admin.,no,secondary,married,0
0,-1,381,unknown,may,unknown,yes,technician,no,secondary,divorced,0
0,-1,71,unknown,aug,cellular,no,blue-collar,no,primary,married,0
0,-1,211,unknown,feb,telephone,no,management,no,tertiary,single,0
0,-1,853,unknown,jul,cellular,yes,blue-collar,no,primary,married,0
0,-1,830,unknown,apr,cellular,yes,unemployed,no,tertiary,married,1
0,-1,177,unknown,may,unknown,yes,technician,no,secondary,married,0
0,-1,644,unknown,may,unknown,yes,blue-collar,no,secondary,married,0
1,83,767,success,jan,telephone,no,retired,no,primary,married,1
0,-1,290,unknown,jun,unknown,no,blue-collar,yes,primary,married,0
2,104,278,other,nov,cellular,yes,blue-collar,no,unknown,married,0
0,-1,156,unknown,jul,cellular,no,services,no,secondary,divorced,0
0,-1,34,unknown,jul,cellular,no,entrepreneur,no,tertiary,married,0
0,-1,160,unknown,feb,cellular,no,admin.,no,secondary,married,0
0,-1,300,unknown,apr,cellular,yes,services,no,secondary,single,0
1,326,305,success,mar,cellular,yes,management,no,tertiary,married,1
1,258,75,failure,feb,cellular,yes,management,no,tertiary,single,0
0,-1,394,unknown,jun,unknown,yes,technician,yes,tertiary,married,0
0,-1,85,unknown,may,unknown,no,admin.,no,secondary,married,0
0,-1,95,unknown,jul,cellular,yes,services,yes,secondary,married,0
0,-1,129,unknown,may,unknown,yes,management,no,secondary,married,0
0,-1,215,unknown,nov,telephone,no,technician,no,secondary,divorced,0
0,-1,259,unknown,aug,cellular,no,technician,no,secondary,single,0
0,-1,200,unknown,may,unknown,yes,blue-collar,no,primary,single,0
0,-1,175,unknown,may,cellular,yes,admin.,yes,secondary,married,0
0,-1,215,unknown,aug,cellular,no,technician,no,secondary,married,0
0,-1,83,unknown,feb,cellular,no,admin.,no,secondary,single,0
0,-1,108,unknown,jul,cellular,no,unemployed,yes,primary,married,0
3,81,65,failure,apr,cellular,yes,management,no,tertiary,single,1
0,-1,88,unknown,aug,cellular,yes,management,yes,tertiary,married,0
11,356,290,failure,may,cellular,yes,blue-collar,no,secondary,married,0
0,-1,458,unknown,jan,cellular,no,management,no,tertiary,married,0
5,197,282,failure,aug,cellular,no,management,no,tertiary,married,0
8,92,209,success,sep,cellular,no,management,no,tertiary,married,1
0,-1,183,unknown,jul,cellular,no,services,no,secondary,divorced,0
0,-1,166,unknown,jun,unknown,no,management,no,tertiary,married,0
0,-1,215,unknown,jul,cellular,no,blue-collar,no,secondary,married,0
0,-1,83,unknown,may,unknown,yes,admin.,yes,secondary,married,0
0,-1,439,unknown,feb,cellular,no,blue-collar,no,secondary,married,0
0,-1,92,unknown,aug,cellular,yes,management,no,tertiary,single,0
0,-1,87,unknown,may,unknown,yes,services,no,primary,married,0
0,-1,872,unknown,may,unknown,yes,services,no,secondary,married,0
0,-1,142,unknown,may,unknown,yes,services,yes,secondary,single,0
3,322,256,success,may,cellular,yes,blue-collar,no,tertiary,married,0
0,-1,260,unknown,jul,unknown,yes,admin.,yes,secondary,single,0
0,-1,178,unknown,may,cellular,yes,blue-collar,no,primary,single,0
0,-1,419,unknown,jul,cellular,yes,admin.,no,secondary,married,0
4,183,328,success,feb,cellular,no,technician,no,secondary,single,1
0,-1,247,unknown,may,unknown,yes,admin.,no,secondary,single,0
2,342,191,failure,may,cellular,yes,blue-collar,no,secondary,married,0
0,-1,385,unknown,may,unknown,yes,admin.,no,secondary,divorced,0
6,173,1307,failure,nov,cellular,yes,management,no,tertiary,single,0
0,-1,306,unknown,may,unknown,yes,services,no,tertiary,single,0
1,179,51,failure,may,cellular,no,unemployed,no,tertiary,single,0
0,-1,365,unknown,aug,telephone,no,retired,yes,secondary,married,0
0,-1,221,unknown,nov,cellular,yes,blue-collar,no,secondary,divorced,0
0,-1,11,unknown,feb,cellular,no,services,no,tertiary,single,0
0,-1,220,unknown,may,unknown,yes,technician,yes,tertiary,married,0
0,-1,21,unknown,nov,telephone,yes,services,no,secondary,married,0
0,-1,526,unknown,feb,cellular,no,management,no,secondary,married,0
0,-1,199,unknown,oct,cellular,no,management,no,tertiary,married,0
0,-1,160,unknown,jul,cellular,no,management,no,tertiary,single,0
0,-1,549,unknown,may,cellular,yes,blue-collar,no,primary,married,0
2,359,132,failure,may,cellular,yes,blue-collar,no,secondary,married,0
0,-1,73,unknown,nov,cellular,yes,admin.,no,secondary,single,0
3,94,91,success,jan,cellular,no,management,no,tertiary,married,0
0,-1,187,unknown,may,cellular,yes,services,no,secondary,married,0
0,-1,180,unknown,jun,unknown,no,management,no,tertiary,married,0
0,-1,306,unknown,may,unknown,yes,management,yes,tertiary,married,0
0,-1,109,unknown,may,unknown,yes,services,no,secondary,married,0
0,-1,95,unknown,may,unknown,yes,services,no,secondary,married,0
0,-1,61,unknown,jul,cellular,yes,management,no,tertiary,married,0
3,233,271,other,feb,cellular,yes,management,no,tertiary,single,0
2,183,504,success,oct,cellular,no,blue-collar,no,secondary,single,1
0,-1,167,unknown,may,unknown,yes,management,no,tertiary,married,0
0,-1,142,unknown,may,unknown,yes,blue-collar,no,unknown,married,0
0,-1,236,unknown,may,cellular,yes,technician,no,secondary,single,1
0,-1,716,unknown,jul,cellular,no,blue-collar,no,primary,single,1
0,-1,704,unknown,jun,unknown,yes,blue-collar,no,secondary,married,1
1,273,18,failure,apr,cellular,yes,blue-collar,no,secondary,married,0
7,366,117,other,may,cellular,yes,services,no,secondary,single,0
0,-1,645,unknown,jan,cellular,no,unemployed,no,secondary,married,0
0,-1,87,unknown,may,telephone,yes,entrepreneur,no,secondary,married,0
0,-1,29,unknown,jun,unknown,no,services,no,primary,married,0
5,113,50,other,nov,cellular,no,management,no,tertiary,single,0
0,-1,90,unknown,jul,cellular,yes,services,yes,secondary,married,0
0,-1,716,unknown,jul,telephone,no,management,no,primary,married,0
0,-1,101,unknown,jun,unknown,no,technician,no,secondary,married,0
0,-1,215,unknown,jun,unknown,yes,blue-collar,no,primary,married,0
0,-1,77,unknown,jul,telephone,no,services,no,secondary,married,0
2,133,902,other,nov,cellular,no,technician,yes,secondary,married,1
0,-1,203,unknown,may,cellular,yes,blue-collar,no,secondary,divorced,0
0,-1,239,unknown,feb,cellular,no,student,no,tertiary,single,0
0,-1,284,unknown,jun,cellular,no,services,no,secondary,single,1
0,-1,96,unknown,aug,cellular,no,services,no,unknown,married,0
0,-1,91,unknown,aug,cellular,no,technician,no,secondary,married,0
0,-1,90,unknown,may,unknown,yes,technician,no,secondary,married,0
0,-1,340,unknown,may,unknown,no,management,no,tertiary,married,0
0,-1,41,unknown,may,unknown,yes,admin.,no,secondary,single,0
0,-1,135,unknown,feb,cellular,yes,housemaid,no,tertiary,single,0
0,-1,406,unknown,jun,unknown,no,services,no,secondary,married,0
0,-1,206,unknown,may,unknown,yes,blue-collar,no,primary,married,0
0,-1,265,unknown,jul,cellular,no,management,yes,secondary,single,0
0,-1,467,unknown,jul,cellular,yes,entrepreneur,no,primary,married,0
0,-1,650,unknown,may,unknown,yes,entrepreneur,yes,tertiary,married,0
3,272,28,other,apr,cellular,yes,management,yes,tertiary,single,0
0,-1,232,unknown,jun,cellular,yes,technician,no,tertiary,single,1
0,-1,444,unknown,apr,cellular,yes,technician,no,tertiary,married,0
0,-1,123,unknown,may,unknown,yes,services,no,secondary,married,0
0,-1,126,unknown,nov,cellular,yes,technician,yes,secondary,married,0
0,-1,1471,unknown,aug,cellular,no,blue-collar,no,primary,married,1
0,-1,106,unknown,jul,cellular,no,services,yes,secondary,single,0
1,367,560,other,may,cellular,yes,technician,no,unknown,single,0
0,-1,99,unknown,jul,telephone,no,technician,no,secondary,married,0
0,-1,279,unknown,feb,cellular,yes,management,no,tertiary,married,0
0,-1,13,unknown,may,cellular,yes,services,no,secondary,divorced,0
0,-1,138,unknown,apr,cellular,no,retired,no,tertiary,divorced,1
0,-1,171,unknown,nov,telephone,no,management,no,secondary,married,0
0,-1,323,unknown,jun,unknown,no,blue-collar,yes,primary,married,0
2,330,317,failure,jul,cellular,no,retired,no,secondary,married,0
0,-1,152,unknown,jun,unknown,no,blue-collar,no,secondary,married,0
2,187,115,failure,feb,cellular,yes,blue-collar,no,secondary,divorced,0
0,-1,231,unknown,nov,cellular,yes,unemployed,no,primary,married,0
0,-1,94,unknown,aug,cellular,no,management,no,tertiary,single,0
6,92,161,failure,oct,cellular,no,technician,no,secondary,married,0
1,260,254,failure,feb,cellular,yes,services,no,unknown,single,0
2,113,192,failure,nov,cellular,yes,management,no,tertiary,single,0
0,-1,59,unknown,jun,unknown,yes,services,no,secondary,married,0
0,-1,207,unknown,jul,cellular,no,blue-collar,no,primary,married,0
0,-1,391,unknown,aug,cellular,no,technician,no,secondary,single,0
0,-1,140,unknown,may,unknown,yes,blue-collar,no,primary,married,0
0,-1,176,unknown,jan,unknown,no,admin.,no,secondary,divorced,0
0,-1,106,unknown,jul,telephone,no,housemaid,no,primary,married,0
0,-1,172,unknown,may,unknown,yes,admin.,no,secondary,married,0
0,-1,610,unknown,may,cellular,yes,blue-collar,no,secondary,single,1
0,-1,184,unknown,jul,telephone,no,entrepreneur,yes,tertiary,married,0
2,301,277,failure,may,cellular,yes,services,no,unknown,divorced,0
0,-1,1134,unknown,aug,cellular,no,housemaid,no,primary,married,1
0,-1,65,unknown,jun,unknown,no,services,no,secondary,single,0
0,-1,1196,unknown,apr,cellular,yes,management,no,tertiary,divorced,1
4,270,611,failure,apr,cellular,yes,admin.,no,secondary,married,0
0,-1,423,unknown,may,unknown,yes,blue-collar,no,primary,married,0
0,-1,101,unknown,apr,cellular,yes,technician,yes,tertiary,married,0
10,326,639,failure,may,cellular,yes,admin.,no,secondary,divorced,0
0,-1,217,unknown,apr,cellular,yes,blue-collar,no,secondary,married,0
0,-1,251,unknown,oct,telephone,yes,management,no,tertiary,divorced,1
0,-1,95,unknown,nov,cellular,yes,admin.,no,secondary,single,0
0,-1,533,unknown,apr,cellular,yes,blue-collar,no,secondary,single,0
0,-1,27,unknown,jun,unknown,no,technician,no,secondary,married,0
0,-1,305,unknown,feb,cellular,no,management,no,tertiary,single,0
0,-1,318,unknown,may,unknown,yes,services,no,secondary,divorced,0
0,-1,695,unknown,aug,cellular,no,management,no,tertiary,single,1
0,-1,357,unknown,jul,cellular,yes,blue-collar,no,secondary,married,0
0,-1,199,unknown,aug,cellular,no,technician,no,secondary,single,0
0,-1,102,unknown,may,unknown,yes,blue-collar,no,primary,married,0
0,-1,254,unknown,jul,cellular,yes,management,no,tertiary,single,0
0,-1,664,unknown,aug,cellular,no,unknown,no,unknown,married,1
20,237,193,other,feb,cellular,yes,services,yes,secondary,married,0
0,-1,108,unknown,nov,cellular,no,technician,no,secondary,divorced,0
3,342,39,failure,apr,cellular,yes,management,no,tertiary,single,0
0,-1,24,unknown,may,unknown,yes,admin.,no,secondary,married,0
5,135,283,success,may,telephone,no,retired,no,primary,married,1
0,-1,370,unknown,apr,cellular,yes,blue-collar,no,secondary,single,0
0,-1,136,unknown,nov,cellular,yes,management,no,secondary,married,0
0,-1,17,unknown,jun,unknown,no,housemaid,no,tertiary,divorced,0
0,-1,544,unknown,jul,cellular,yes,management,no,tertiary,married,0
0,-1,221,unknown,may,unknown,yes,management,yes,primary,married,0
0,-1,274,unknown,may,unknown,yes,blue-collar,no,secondary,married,0
6,88,309,other,oct,cellular,no,unemployed,no,secondary,married,0
0,-1,90,unknown,jun,unknown,yes,self-employed,yes,secondary,single,0
0,-1,271,unknown,jul,cellular,no,technician,no,secondary,married,0
0,-1,159,unknown,may,telephone,no,technician,yes,secondary,single,0
0,-1,507,unknown,aug,cellular,yes,management,no,secondary,married,0
1,105,255,failure,aug,cellular,no,blue-collar,no,secondary,single,0
0,-1,236,unknown,mar,cellular,no,student,no,secondary,single,0
0,-1,485,unknown,may,unknown,yes,blue-collar,no,secondary,divorced,0
0,-1,160,unknown,may,unknown,yes,blue-collar,no,secondary,married,0
0,-1,206,unknown,may,unknown,yes,management,no,tertiary,divorced,0
0,-1,487,unknown,jun,unknown,yes,technician,yes,secondary,divorced,0
2,229,182,failure,nov,cellular,yes,management,no,tertiary,married,0
0,-1,99,unknown,oct,cellular,no,management,no,tertiary,married,0
2,331,91,failure,apr,cellular,yes,blue-collar,no,primary,single,0
0,-1,309,unknown,oct,telephone,no,admin.,no,secondary,married,0
0,-1,460,unknown,may,unknown,yes,admin.,no,secondary,single,0
0,-1,253,unknown,may,unknown,yes,blue-collar,no,secondary,married,0
0,-1,143,unknown,jul,unknown,no,management,yes,tertiary,married,0
0,-1,283,unknown,may,cellular,yes,unemployed,no,secondary,single,0
0,-1,94,unknown,jul,cellular,no,management,no,tertiary,single,0
0,-1,202,unknown,nov,cellular,no,retired,no,secondary,married,0
0,-1,92,unknown,jun,unknown,no,management,no,tertiary,married,0
0,-1,668,unknown,jul,cellular,no,blue-collar,yes,secondary,married,0
0,-1,63,unknown,jun,unknown,yes,blue-collar,yes,primary,divorced,0
2,89,223,failure,may,cellular,yes,admin.,no,tertiary,single,1
0,-1,256,unknown,jun,unknown,no,admin.,no,secondary,married,0
0,-1,154,unknown,may,unknown,no,unemployed,yes,secondary,married,0
0,-1,199,unknown,feb,cellular,no,technician,no,tertiary,single,0
0,-1,432,unknown,aug,cellular,no,retired,no,primary,married,0
0,-1,79,unknown,aug,cellular,no,technician,no,tertiary,single,0
5,170,608,failure,may,cellular,yes,blue-collar,yes,secondary,married,0
0,-1,216,unknown,jul,cellular,yes,management,no,secondary,divorced,0
0,-1,141,unknown,jun,unknown,yes,management,no,tertiary,single,0
2,166,475,failure,may,telephone,yes,technician,no,secondary,single,0
0,-1,333,unknown,may,cellular,yes,technician,no,secondary,married,0
0,-1,275,unknown,aug,cellular,yes,entrepreneur,yes,tertiary,married,0
0,-1,79,unknown,nov,cellular,no,blue-collar,no,secondary,married,0
0,-1,244,unknown,may,unknown,no,admin.,no,secondary,single,0
0,-1,1390,unknown,jul,cellular,yes,self-employed,no,tertiary,married,0
1,346,670,failure,may,cellular,yes,services,yes,secondary,married,1
0,-1,717,unknown,apr,cellular,yes,admin.,no,tertiary,married,1
0,-1,691,unknown,may,cellular,yes,management,no,tertiary,divorced,1
0,-1,384,unknown,may,cellular,no,management,no,tertiary,single,1
0,-1,267,unknown,may,unknown,yes,admin.,no,secondary,married,0
0,-1,202,unknown,jun,unknown,no,self-employed,yes,tertiary,married,0
0,-1,118,unknown,jul,cellular,no,blue-collar,no,primary,divorced,0
0,-1,89,unknown,oct,cellular,no,retired,no,secondary,married,0
0,-1,1199,unknown,jun,unknown,no,retired,no,secondary,married,0
0,-1,134,unknown,jun,unknown,no,blue-collar,no,primary,divorced,0
0,-1,40,unknown,jul,cellular,yes,services,no,secondary,married,0
5,91,260,failure,oct,cellular,no,technician,no,secondary,married,0
0,-1,251,unknown,may,unknown,yes,technician,no,secondary,married,0
0,-1,44,unknown,jul,telephone,no,unemployed,no,primary,married,0
0,-1,472,unknown,may,unknown,no,management,no,primary,divorced,0
0,-1,561,unknown,jul,cellular,no,technician,no,secondary,single,0
0,-1,165,unknown,may,unknown,yes,services,no,secondary,married,0
1,370,72,failure,may,cellular,yes,blue-collar,no,secondary,married,0
0,-1,61,unknown,aug,cellular,no,technician,yes,secondary,single,0
3,14,99,failure,may,cellular,yes,management,no,tertiary,single,0
0,-1,56,unknown,may,unknown,yes,blue-collar,yes,primary,married,0
0,-1,71,unknown,jun,unknown,no,admin.,yes,secondary,married,0
0,-1,56,unknown,may,unknown,yes,management,no,primary,married,0
0,-1,784,unknown,may,unknown,yes,management,no,tertiary,single,0
0,-1,278,unknown,nov,cellular,yes,admin.,no,tertiary,married,0
0,-1,205,unknown,may,unknown,yes,entrepreneur,no,tertiary,married,0
0,-1,74,unknown,jul,cellular,yes,blue-collar,no,tertiary,single,0
0,-1,521,unknown,may,cellular,yes,services,yes,secondary,married,0
5,291,128,failure,may,cellular,yes,technician,no,tertiary,single,0
0,-1,173,unknown,may,cellular,yes,blue-collar,no,secondary,married,0
0,-1,100,unknown,jul,unknown,no,blue-collar,yes,primary,married,0
0,-1,153,unknown,jul,cellular,yes,management,no,tertiary,married,0
0,-1,160,unknown,apr,cellular,yes,services,no,secondary,single,0
0,-1,607,unknown,may,unknown,yes,blue-collar,yes,secondary,married,0
0,-1,150,unknown,aug,cellular,no,management,no,tertiary,married,0
0,-1,108,unknown,feb,cellular,yes,blue-collar,no,secondary,divorced,0
0,-1,9,unknown,jun,unknown,yes,management,no,tertiary,single,0
4,157,730,failure,sep,cellular,yes,management,no,tertiary,divorced,1
4,363,240,other,may,cellular,no,blue-collar,no,primary,single,0
13,364,11,failure,may,cellular,yes,blue-collar,no,secondary,divorced,0
0,-1,464,unknown,apr,cellular,yes,blue-collar,yes,secondary,married,0
0,-1,130,unknown,feb,cellular,yes,admin.,no,secondary,married,0
0,-1,87,unknown,jun,unknown,no,entrepreneur,no,tertiary,married,0
0,-1,82,unknown,jun,unknown,yes,blue-collar,no,primary,married,0
0,-1,149,unknown,aug,cellular,no,self-employed,no,secondary,married,0
0,-1,59,unknown,may,unknown,yes,management,no,tertiary,divorced,0
0,-1,738,unknown,nov,cellular,yes,blue-collar,no,secondary,married,0
0,-1,216,unknown,jul,telephone,yes,management,yes,tertiary,single,0
8,87,321,failure,may,cellular,no,management,no,secondary,married,0
0,-1,49,unknown,jun,unknown,yes,retired,no,tertiary,divorced,0
0,-1,242,unknown,feb,cellular,no,admin.,no,unknown,single,1
0,-1,54,unknown,nov,cellular,yes,management,no,tertiary,single,0
0,-1,92,unknown,aug,cellular,no,management,no,tertiary,married,0
0,-1,122,unknown,jul,telephone,no,admin.,yes,secondary,married,0
0,-1,195,unknown,sep,cellular,no,retired,no,primary,married,0
0,-1,214,unknown,may,unknown,yes,services,yes,secondary,divorced,0
1,149,816,other,jan,cellular,no,management,no,tertiary,married,1
0,-1,156,unknown,nov,cellular,no,technician,no,secondary,married,0
4,100,563,other,sep,cellular,no,admin.,no,secondary,single,1
1,182,58,failure,nov,cellular,yes,management,no,tertiary,single,0
